,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Candidatus Ishikawaella capsulata,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas sp. FP2196,0,0,0,0,0,0,0,0,0,1,0
Marinobacter sp. LV10R510-11A,0,0,0,0,0,0,0,0,0,1,0
Lysobacter terrestris,0,0,0,0,0,0,0,0,0,1,0
Thioalkalivibrio sulfidiphilus,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter wanghuae,0,0,0,0,0,0,0,0,0,1,0
Cobetia sp. L2A1,0,0,0,0,0,0,0,0,0,1,0
Actinobacillus sp. GY-402,0,0,0,0,0,0,0,0,0,1,0
Methylomagnum ishizawai,0,0,0,0,0,0,0,0,0,1,0
Bacteroides sp. PHL 2737,0,0,0,0,0,0,0,0,0,1,0
Phocaeicola salanitronis,0,0,0,0,0,0,0,0,0,0,0
Petrimonas mucosa,0,0,0,0,0,0,0,0,0,1,0
Pedobacter sp. SL55,0,0,0,0,0,0,0,0,0,1,0
Desulforapulum autotrophicum,0,0,0,0,0,0,0,0,0,0,0
Bacillus sp. OxB-1,0,0,0,0,0,0,0,0,0,0,1
Bacillus sp. N1-1,0,0,0,0,0,0,0,0,0,0,1
Paenibacillus sp. 481,0,0,0,0,0,0,0,0,0,0,1
Paenibacillus sp. FSL R7-0331,0,0,0,0,0,0,0,0,0,0,1
Paenibacillus sonchi,0,0,0,0,0,0,0,0,0,0,1
Brevibacillus parabrevis,0,0,0,0,0,0,0,0,0,0,1
Staphylococcus auricularis,0,0,0,0,0,0,0,0,0,0,3
Staphylococcus sp. AntiMn-1,0,0,0,0,0,0,0,0,0,0,2
Staphylococcus arlettae,0,0,0,0,0,0,0,0,0,0,2
Nosocomiicoccus ampullae,0,0,0,0,0,0,0,0,0,0,1
Laceyella sacchari,0,0,0,0,0,0,0,0,0,0,1
Limosilactobacillus gastricus,0,0,0,0,0,0,0,0,0,0,1
Weissella confusa,0,0,0,0,0,0,0,0,0,0,1
Enterococcus gallinarum,0,0,0,0,0,0,0,0,0,0,1
Clostridium sp. MB40-C1,0,0,0,0,0,0,0,0,0,0,1
Moorella thermoacetica,0,0,0,0,0,0,0,0,0,0,1
uncultured Sporomusa sp.,0,0,0,0,0,0,0,0,0,0,1
Methylomusa anaerophila,0,0,0,0,0,0,0,0,0,0,1
Selenobaculum gbiensis,0,0,0,0,0,0,0,0,0,0,1
Phascolarctobacterium sp. Marseille-Q4147,0,0,0,0,0,0,0,0,0,0,1
Tissierella sp. MB52-C2,0,0,0,0,0,0,0,0,0,0,1
Acidilutibacter cellobiosedens,0,0,0,0,0,0,0,0,0,0,1
Corynebacterium ulcerans,0,0,0,0,0,0,0,0,0,0,1
Mycolicibacterium poriferae,0,0,0,0,0,0,0,0,0,0,1
Mycobacterium kubicae,0,0,0,0,0,0,0,0,0,0,1
Rhodococcus pyridinivorans,0,0,0,0,0,0,0,0,0,0,1
Micromonospora purpureochromogenes,0,0,0,0,0,0,0,0,0,0,1
Amycolatopsis sp. FU40,0,0,0,0,0,0,0,0,0,0,1
Streptosporangium roseum,0,0,0,0,0,0,0,0,0,0,0
Gleimia europaea,0,0,0,0,0,0,0,0,0,0,1
Baekduia soli,0,0,0,0,0,0,0,0,0,0,1
Deinococcus peraridilitoris,0,0,0,0,0,0,0,0,0,0,0
Mycoplasmopsis felis,0,0,0,0,0,0,0,0,0,0,2
Mesomycoplasma hyopneumoniae,0,0,0,0,0,0,0,0,0,0,1
Bradyrhizobium arachidis,0,0,0,0,0,0,0,0,0,0,1
Rhizobium sp. CB3090,0,0,0,0,0,0,0,0,0,0,1
Liberibacter crescens,0,0,0,0,0,0,0,0,0,0,1
Peteryoungia desertarenae,0,0,0,0,0,0,0,0,0,0,1
Microvirga ossetica,0,0,0,0,0,0,0,0,0,0,1
Methylocystis sp. SB2,0,0,0,0,0,0,0,0,0,0,2
Chenggangzhangella methanolivorans,0,0,0,0,0,0,0,0,0,0,1
Mesorhizobium sp. L-2-11,0,0,0,0,0,0,0,0,0,0,1
Nitrospirillum amazonense,0,0,0,0,0,0,0,0,0,0,0
Sphingorhabdus lutea,0,0,0,0,0,0,0,0,0,0,1
Paraburkholderia hospita,0,0,0,0,0,0,0,0,0,0,1
Polaromonas naphthalenivorans,0,0,0,0,0,0,0,0,0,0,0
Hydrogenophaga sp. PAMC20947,0,0,0,0,0,0,0,0,0,0,1
Paenalcaligenes faecalis,0,0,0,0,0,0,0,0,0,0,1
Serratia sp. CMO1,0,0,0,0,0,0,0,0,0,0,1
Rahnella aceris,0,0,0,0,0,0,0,0,0,0,1
Pseudomonas sp. FP607,0,0,0,0,0,0,0,0,0,0,1
Pseudomonas sp. B14-6,0,0,0,0,0,0,0,0,0,0,1
Pseudomonas sp. 13159349,0,0,0,0,0,0,0,0,0,0,1
Pseudomonas fragi,0,0,0,0,0,0,0,0,0,0,1
Acinetobacter pittii,0,0,0,0,0,0,0,0,0,0,1
Acinetobacter sp. NyZ410,0,0,0,0,0,0,0,0,0,0,1
Acinetobacter johnsonii,0,0,0,0,0,0,0,0,0,0,1
Acinetobacter radioresistens,0,0,0,0,0,0,0,0,0,0,1
Rheinheimera sp. F8,0,0,0,0,0,0,0,0,0,0,1
Coxiella endosymbiont of Dermacentor marginatus,0,0,0,0,0,0,0,0,0,0,1
Aeromonas sp. FDAARGOS 1402,0,0,0,0,0,0,0,0,0,0,1
endosymbiont of unidentified scaly snail isolate Monju,0,0,0,0,0,0,0,0,0,0,1
Rubinisphaera brasiliensis,0,0,0,0,0,0,0,0,0,0,0
Maioricimonas rarisocia,0,0,0,0,0,0,0,0,0,0,1
Geothrix sp. 21YS21S-4,0,0,0,0,0,0,0,0,0,0,1
Psychroflexus sp. ALD_RP9,0,0,0,0,0,0,0,0,0,0,1
Prevotella fusca,0,0,0,0,0,0,0,0,0,0,0
Mucilaginibacter ginsenosidivorax,0,0,0,0,0,0,0,0,0,0,1
Desulfobacter hydrogenophilus,0,0,0,0,0,0,0,0,0,0,1
Desulfonema limicola,0,0,0,0,0,0,0,0,0,0,1
